College,Type,Program,Batch Size,Placement Rate (%),Highest Package (LPA),Average Package - Top 20% (LPA),Median Package - Top 20% (LPA),Overall Average Package (LPA),Overall Median (LPA),Total Recruiters,PPO Rate (%),Fees (LPA),Year,Data Source
IIM Amritsar,Baby IIM (Government),MBA,320,100.0,25.86,19.11,18.0,14.5,15.6,300,,21.5,2025,Official + NIRF 2025 + RTI
IIM Kashipur,Baby IIM (Government),MBA,433,97.7,33.12,21.51,,14.95,14.46,190,,13.5,2025,Official Placement Report 2025
NMIMS Mumbai,Private (Deemed University),MBA Core,450,96.0,67.7,40.6,,25.13,20.0,168,37.0,24.0,2025,Official Placement Report 2024
